exam_system,section,region_or_subsection,maneuver_or_finding,source_item,patient_instruction_or_setup,examiner_technique,observe_or_positive_finding,function_or_clinical_use,suggested_checklist_label,suggested_options,include_when,exam_id
Neuro,Motor,Upper extremity,Wrist extensor strength,Neuro 22,Lift hand toward ceiling and resist downward push,Stabilize proximal to wrist; test one wrist at a time,Weakness grade or asymmetry,Screens wrist extension,Wrist extension strength,0 / 1 / 2 / 3 / 4 / 5,Radial nerve concern; upper extremity weakness,neuro_motor_upper_extremity_wrist_extensor_strength
Neuro,Motor,Upper extremity,Wrist flexor strength,Neuro 23,Move hand toward floor and resist upward push,Stabilize proximal to wrist; test one wrist at a time,Weakness grade or asymmetry,Screens wrist flexion,Wrist flexion strength,0 / 1 / 2 / 3 / 4 / 5,Upper extremity weakness,neuro_motor_upper_extremity_wrist_flexor_strength
Neuro,Motor,Lower extremity,Hip flexor strength,Neuro 24,Lift thigh off table and resist downward push; hands may support but not leverage,Push thigh down; test one leg at a time,Weakness grade or asymmetry,Screens hip flexion,Hip flexion strength,0 / 1 / 2 / 3 / 4 / 5,Lower extremity weakness; myelopathy; radiculopathy,neuro_motor_lower_extremity_hip_flexor_strength
Neuro,Motor,Lower extremity,Knee extensor strength,Neuro 25,Straighten leg and resist downward push,Stabilize thigh with one hand; push distal leg down,Weakness grade or asymmetry,Screens knee extension,Knee extension strength,0 / 1 / 2 / 3 / 4 / 5,Lower extremity weakness,neuro_motor_lower_extremity_knee_extensor_strength
Neuro,Motor,Lower extremity,Knee flexor strength,Neuro 26,Resist distal leg being pulled anteriorly,Stabilize thigh carefully; pull distal leg anteriorly,Weakness grade or asymmetry,Screens knee flexion,Knee flexion strength,0 / 1 / 2 / 3 / 4 / 5,Lower extremity weakness,neuro_motor_lower_extremity_knee_flexor_strength
Neuro,Motor,Lower extremity,Ankle dorsiflexion strength,Neuro 27,Point foot up toward ceiling and resist downward push,Stabilize proximal to ankle; test one ankle at a time,Weakness grade or asymmetry,Screens ankle dorsiflexion,Ankle dorsiflexion strength,0 / 1 / 2 / 3 / 4 / 5,Foot drop; lower extremity weakness,neuro_motor_lower_extremity_ankle_dorsiflexion_strength
Neuro,Motor,Lower extremity,Ankle plantarflexion strength,Neuro 28,Point foot down toward floor and resist upward push,Stabilize proximal to ankle; test one ankle at a time,Weakness grade or asymmetry,Screens ankle plantarflexion,Ankle plantarflexion strength,0 / 1 / 2 / 3 / 4 / 5,Lower extremity weakness,neuro_motor_lower_extremity_ankle_plantarflexion_strength
Neuro,Sensation,Preparation,Sensory exam setup,Neuro sensation prep,Remove footwear; roll sleeves up; lift gown to middle of thigh; place hands at side,Expose skin appropriately for symmetric sensory testing,Adequate exposure and symmetry,Improves reliability of sensory testing,Sensory exam setup,Completed / Limited by exposure / Deferred,Focused sensory exam,neuro_sensation_preparation_sensory_exam_setup
Neuro,Sensation,Extremities,Light touch extremities,Neuro 29,Say whether sensation feels the same or similar at symmetric locations,"Use soft cotton-tipped applicator on arms mid-arm, hands/fingers, legs/thighs, feet/toes bilaterally on skin","Diminished, absent, asymmetric, level",Screens large-fiber light touch distribution,Extremity light touch,Intact / Diminished / Absent / Sensory level ___,Numbness; neuropathy; myelopathy; stroke,neuro_sensation_extremities_light_touch_extremities
Neuro,Sensation,Extremities,Sharp touch extremities,Neuro 30,Say whether each location feels sharp and same or similar,"Use broken cotton-tipped applicator sharp point on arms, hands, legs, feet bilaterally on skin","Diminished, absent, asymmetric, level",Screens pain sensation,Extremity pinprick,Intact / Diminished / Absent / Sensory level ___,Numbness; neuropathy; myelopathy,neuro_sensation_extremities_sharp_touch_extremities
Neuro,Sensation,Great toes,Vibration,Neuro 31,Say if vibration is felt and when it stops,Use 128 Hz tuning fork; demonstrate on wrist; test IP joint of big toe; move proximal to lateral malleolus if not sensed; test bilaterally,Reduced or absent vibration,Screens dorsal column/large-fiber neuropathy,Vibration sense,Intact / Diminished / Absent / Unable,Neuropathy; B12 deficiency; dorsal column disease; diabetes,neuro_sensation_great_toes_vibration
Neuro,Sensation,Great toes,Proprioception,Neuro 32,"Learn up/down, close eyes, report toe movement direction",Hold big toe by sides; support proximal joint; move slightly up or down; at least 3 movements each great toe,Incorrect direction or absent position sense,Screens dorsal column proprioception,Great toe proprioception,Intact / Diminished / Absent / Unable,Neuropathy; dorsal column disease; ataxia,neuro_sensation_great_toes_proprioception
Neuro,Reflexes,Upper extremity,Biceps reflex,Neuro 33,Relax arm,Place thumb or fingers over biceps tendon and strike finger with reflex hammer; test bilaterally,"Absent, diminished, brisk, clonus/asymmetry",Screens C5-C6 reflex arc,Biceps reflex,Absent / Diminished / Normal / Brisk / Clonus,Weakness; myelopathy; radiculopathy,neuro_reflexes_upper_extremity_biceps_reflex
Neuro,Reflexes,Upper extremity,Brachioradialis reflex,Neuro 34,Relax arm,Strike 1-2 inches proximal to wrist on radial side of forearm; test bilaterally,"Absent, diminished, brisk, clonus/asymmetry",Screens C5-C6 reflex arc,Brachioradialis reflex,Absent / Diminished / Normal / Brisk / Clonus,Weakness; myelopathy; radiculopathy,neuro_reflexes_upper_extremity_brachioradialis_reflex
Neuro,Reflexes,Upper extremity,Triceps reflex,Neuro 35,Relax arm,Abduct arm to 90 degrees with forearm dangling while supporting proximal to elbow; strike triceps tendon; test bilaterally,"Absent, diminished, brisk, clonus/asymmetry",Screens C7-C8 reflex arc,Triceps reflex,Absent / Diminished / Normal / Brisk / Clonus,Weakness; myelopathy; radiculopathy,neuro_reflexes_upper_extremity_triceps_reflex
Neuro,Reflexes,Lower extremity,Patellar reflex,Neuro 36,Relax leg,Strike patellar tendon below patella; test bilaterally,"Absent, diminished, brisk, clonus/asymmetry",Screens L3-L4 reflex arc,Patellar reflex,Absent / Diminished / Normal / Brisk / Clonus,Weakness; myelopathy; radiculopathy,neuro_reflexes_lower_extremity_patellar_reflex
Neuro,Reflexes,Lower extremity,Achilles reflex,Neuro 37,Relax ankle,Hold ball of foot; passively dorsiflex to 90 degrees; strike Achilles tendon; test bilaterally,"Absent, diminished, brisk, clonus/asymmetry",Screens S1 reflex arc,Achilles reflex,Absent / Diminished / Normal / Brisk / Clonus,Weakness; myelopathy; neuropathy,neuro_reflexes_lower_extremity_achilles_reflex
Neuro,Reflexes,Lower extremity,Plantar reflex Babinski sign,Neuro 38,Relax foot,Use pointed end of reflex hammer; scrape plantar foot from heel up lateral aspect and across ball toward big toe; test bilaterally,Upgoing toe or no response,Screens upper motor neuron sign,Babinski sign,Downgoing / Upgoing right / Upgoing left / Upgoing both / Equivocal,Myelopathy; stroke; upper motor neuron concern,neuro_reflexes_lower_extremity_plantar_reflex_babinski_sign
Neuro,Coordination and Gait,Upper extremity,Finger-to-nose,Neuro 39,"Touch nose with index finger, then touch examiner finger, then return to nose",Extend target through all four quadrants; test both hands,"Dysmetria, intention tremor, ataxia",Screens cerebellar coordination,Finger-to-nose,Normal / Impaired right / Impaired left / Impaired both / Unable,Ataxia; cerebellar disease; intoxication; stroke,neuro_coordination_and_gait_upper_extremity_finger_to_nose
Neuro,Coordination and Gait,Upper extremity,Rapid alternating movements,Neuro 40,Alternately slap dorsal and palmar hand against thigh; mimic examiner,Test one hand at a time; at least 5 cycles each,Dysdiadochokinesia or slowness,Screens cerebellar coordination,Rapid alternating movements,Normal / Slow right / Slow left / Impaired both / Unable,Ataxia; cerebellar disease,neuro_coordination_and_gait_upper_extremity_rapid_alternating_movements
Neuro,Coordination and Gait,Lower extremity,Heel-to-shin,Neuro 41,"Place heel on opposite knee and drag down shin to ankle, then back to knee",Test both legs,Ataxia or dysmetria,Screens lower extremity coordination,Heel-to-shin,Normal / Impaired right / Impaired left / Impaired both / Unable,Ataxia; cerebellar disease,neuro_coordination_and_gait_lower_extremity_heel_to_shin
Neuro,Coordination and Gait,Gait,Gait,Neuro 42,"Walk across room, turn, and walk back",Observe gait,"Unsteady, shuffling, wide-based, antalgic",Screens gait and functional mobility,Gait,Steady / Unsteady / Antalgic / Unable,Falls; weakness; dizziness; neuro/MSK exam,neuro_coordination_and_gait_gait_gait
Neuro,Coordination and Gait,Gait,Toe walking,Neuro 43,Walk away on toes,Observe ability,Unable or asymmetric weakness,Screens plantarflexion/S1 function,Toe walking,Intact / Impaired / Unable,Radiculopathy; weakness; gait exam,neuro_coordination_and_gait_gait_toe_walking
Neuro,Coordination and Gait,Gait,Heel walking,Neuro 44,Walk toward examiner on heels,Observe ability,Unable or asymmetric weakness,Screens dorsiflexion/L4-L5 function,Heel walking,Intact / Impaired / Unable,Foot drop; radiculopathy; gait exam,neuro_coordination_and_gait_gait_heel_walking
Neuro,Coordination and Gait,Gait,Heel-to-toe tandem gait,Neuro 45,"Walk heel-to-toe, one foot in front of the other",Walk with patient for safety,Imbalance or inability,Screens balance/cerebellar function,Tandem gait,Intact / Unsteady / Unable / Deferred for safety,Ataxia; falls; intoxication; neuro exam,neuro_coordination_and_gait_gait_heel_to_toe_tandem_gait
Neuro,Coordination and Gait,Balance,Romberg,Neuro 46,"Stand with feet together and arms at side, then close eyes",Apply contact guard near patient; observe at least 5 seconds,Sways or falls with eyes closed,Screens proprioceptive balance,Romberg,Negative / Positive / Deferred for safety,Sensory ataxia; neuropathy; balance concern,neuro_coordination_and_gait_balance_romberg
Neuro,Hearing Interpretation,CN VIII,Rinne normal interpretation,Neuro Rinne physics,N/A,Interpret Rinne result,Air conduction greater than bone conduction is normal,Air conduction benefits from tympanic membrane and ossicle amplification and broader frequency range,Rinne interpretation,Normal AC > BC / Conductive pattern BC >= AC / Unable,When Rinne performed,neuro_hearing_interpretation_cn_viii_rinne_normal_interpretation
Neuro,Hearing Interpretation,CN VIII,Rinne conductive loss interpretation,Neuro Rinne physics,N/A,Interpret Rinne result,Bone conduction greater or equal air conduction suggests conductive loss,"Bone conduction bypasses conductive block such as wax, fluid, or ossicle problem",Rinne conductive pattern,Absent / Present right / Present left / Present bilateral,Hearing loss evaluation,neuro_hearing_interpretation_cn_viii_rinne_conductive_loss_interpretation
Neuro,Hearing Interpretation,CN VIII,Weber normal interpretation,Neuro Weber physics,N/A,Interpret Weber result,Sound midline is normal,Skull vibration reaches both cochleae equally by bone conduction,Weber interpretation,Midline / Lateralizes right / Lateralizes left,When Weber performed,neuro_hearing_interpretation_cn_viii_weber_normal_interpretation
Neuro,Hearing Interpretation,CN VIII,Weber conductive loss interpretation,Neuro Weber physics,N/A,Interpret Weber result,Sound lateralizes to bad ear in conductive loss,Less ambient sound and altered tympanic membrane tension can make bone-conducted sound clearer,Weber conductive pattern,Possible right conductive / Possible left conductive / Not suggested,Hearing loss evaluation,neuro_hearing_interpretation_cn_viii_weber_conductive_loss_interpretation
Neuro,Hearing Interpretation,CN VIII,Weber sensorineural loss interpretation,Neuro Weber physics,N/A,Interpret Weber result,Sound lateralizes to good ear in sensorineural loss,Damaged cochlea or auditory nerve detects both air and bone conduction poorly,Weber sensorineural pattern,Possible right sensorineural / Possible left sensorineural / Not suggested,Hearing loss evaluation,neuro_hearing_interpretation_cn_viii_weber_sensorineural_loss_interpretation
HEENT,Head,Scalp,Scalp inspection and palpation,HEENT 1,Sit comfortably,Inspect scalp; palpate with fingertips and palms,"Lesions, tenderness, swelling","Screens scalp trauma, lesions, tenderness",Scalp exam,Normal / Lesion / Tenderness / Swelling,Headache; trauma; HEENT exam,heent_head_scalp_scalp_inspection_and_palpation
HEENT,Eyes,Eyes,Inspect sclerae and conjunctivae,HEENT 2,Look up while lower lids are pulled down,Inspect sclerae and conjunctivae,"Injection, pallor, icterus, discharge","Screens anemia, jaundice, conjunctivitis",Sclerae and conjunctivae,Normal / Icteric / Pale / Injected / Discharge,HEENT; anemia; jaundice; eye symptoms,heent_eyes_eyes_inspect_sclerae_and_conjunctivae
HEENT,Eyes,Eyes,Ophthalmoscope red reflex/fundus,HEENT 3,Look at a distant point,Dim lights; stand 1-2 feet away and about 15 degrees lateral; use right hand/right eye for right eye and left hand/left eye for left eye; observe red reflex and follow toward patient to 1-2 inches,Red reflex or fundus abnormality,Screens ocular media and posterior eye when feasible,Ophthalmoscopic exam,Red reflex present / Abnormal / Unable,Vision symptoms; diabetes; hypertension; neuro/HEENT exam,heent_eyes_eyes_ophthalmoscope_red_reflex_fundus
HEENT,Ears,External ears,Inspect external ears,HEENT 4,Sit comfortably,Inspect external ears bilaterally; bend pinna to inspect behind each ear,"Lesions, tenderness, deformity, discharge",Screens external ear pathology,External ears,Normal / Tender / Lesion / Discharge / Deformity,Ear symptoms; HEENT exam,heent_ears_external_ears_inspect_external_ears
HEENT,Ears,Ear canals and TMs,Ear otoscope,HEENT 5,Sit still,Place clean speculum; pull pinna up and back; gently insert into canal center; observe tympanic membrane; repeat other ear,"Cerumen, erythema, effusion, perforation, abnormal TM",Screens ear canal and tympanic membrane,Otoscope exam,Normal / Cerumen / Erythema / Effusion / Abnormal TM / Unable,Ear pain; hearing loss; infection,heent_ears_ear_canals_and_tms_ear_otoscope
HEENT,Nose,Nares,Nose otoscope,HEENT 6,Tilt head up,Place clean speculum; stabilize head and thumb on nose tip; gently insert into naris; observe; repeat other naris,"Congestion, discharge, bleeding, lesions",Screens nasal mucosa and obstruction,Nasal exam,Normal / Congestion / Rhinorrhea / Epistaxis / Lesion,Nasal symptoms; URI; epistaxis,heent_nose_nares_nose_otoscope
HEENT,Nose,Sinuses,Frontal and maxillary sinus palpation,HEENT 7,Tell examiner if tenderness occurs,Palpate frontal sinuses above each eye and maxillary sinuses below each eye bilaterally,Tenderness,Screens sinus tenderness,Sinus tenderness,Absent / Frontal / Maxillary / Diffuse,Sinus symptoms; headache; URI,heent_nose_sinuses_frontal_and_maxillary_sinus_palpation
HEENT,Mouth,Mouth,Inspect mouth,HEENT 8,Open mouth; touch tip of tongue to roof of mouth,"Use tongue blade and light; inspect gingivae, dentition, and subglossal area","Poor dentition, lesions, bleeding, dry mucosa",Screens oral cavity,Mouth exam,Normal / Dry mucosa / Lesions / Poor dentition / Bleeding,HEENT; dehydration; infection; oral symptoms,heent_mouth_mouth_inspect_mouth
HEENT,Mouth,Oropharynx,Inspect oropharynx,HEENT 9,Open mouth,"Use tongue blade and light; inspect posterior pharynx, uvula, tonsils","Erythema, exudate, swelling, uvular deviation",Screens pharyngeal/tonsillar pathology,Oropharynx,Clear / Erythematous / Exudate / Swollen / Uvula deviated,Sore throat; infection; airway concerns,heent_mouth_oropharynx_inspect_oropharynx
HEENT,Lymph Nodes and Thyroid,Lymph nodes,Preauricular lymph nodes,HEENT 10,Relax neck,Use two fingers in circular motions bilaterally on skin in front of ear,Lymphadenopathy or tenderness,Screens regional lymph nodes,Preauricular nodes,Not enlarged / Enlarged / Tender,HEENT infection; malignancy concern,heent_lymph_nodes_and_thyroid_lymph_nodes_preauricular_lymph_nodes
HEENT,Lymph Nodes and Thyroid,Lymph nodes,Posterior auricular lymph nodes,HEENT 10,Relax neck,Palpate behind ear bilaterally,Lymphadenopathy or tenderness,Screens regional lymph nodes,Posterior auricular nodes,Not enlarged / Enlarged / Tender,HEENT infection,heent_lymph_nodes_and_thyroid_lymph_nodes_posterior_auricular_lymph_nodes
HEENT,Lymph Nodes and Thyroid,Lymph nodes,Occipital lymph nodes,HEENT 10,Relax neck,Palpate base of skull bilaterally,Lymphadenopathy or tenderness,Screens regional lymph nodes,Occipital nodes,Not enlarged / Enlarged / Tender,Scalp infection; HEENT exam,heent_lymph_nodes_and_thyroid_lymph_nodes_occipital_lymph_nodes
HEENT,Lymph Nodes and Thyroid,Lymph nodes,Tonsillar lymph nodes,HEENT 10,Relax jaw/neck,Palpate angle of jaw bilaterally,Lymphadenopathy or tenderness,Screens regional lymph nodes,Tonsillar nodes,Not enlarged / Enlarged / Tender,Throat infection; HEENT exam,heent_lymph_nodes_and_thyroid_lymph_nodes_tonsillar_lymph_nodes
HEENT,Lymph Nodes and Thyroid,Lymph nodes,Submandibular lymph nodes,HEENT 10,Relax jaw/neck,Palpate along jaw bilaterally,Lymphadenopathy or tenderness,Screens regional lymph nodes,Submandibular nodes,Not enlarged / Enlarged / Tender,Oral/throat infection; HEENT exam,heent_lymph_nodes_and_thyroid_lymph_nodes_submandibular_lymph_nodes
HEENT,Lymph Nodes and Thyroid,Lymph nodes,Submental lymph nodes,HEENT 10,Relax jaw/neck,Palpate under chin,Lymphadenopathy or tenderness,Screens regional lymph nodes,Submental nodes,Not enlarged / Enlarged / Tender,Oral infection; HEENT exam,heent_lymph_nodes_and_thyroid_lymph_nodes_submental_lymph_nodes
HEENT,Lymph Nodes and Thyroid,Lymph nodes,Anterior cervical lymph nodes,HEENT 10,Relax neck,Palpate down in front of SCM bilaterally,Lymphadenopathy or tenderness,Screens cervical nodes,Anterior cervical nodes,Not enlarged / Enlarged / Tender,Infection; malignancy; HEENT exam,heent_lymph_nodes_and_thyroid_lymph_nodes_anterior_cervical_lymph_nodes
HEENT,Lymph Nodes and Thyroid,Lymph nodes,Posterior cervical lymph nodes,HEENT 10,Relax neck,Palpate down behind SCM bilaterally,Lymphadenopathy or tenderness,Screens cervical nodes,Posterior cervical nodes,Not enlarged / Enlarged / Tender,Infection; malignancy; HEENT exam,heent_lymph_nodes_and_thyroid_lymph_nodes_posterior_cervical_lymph_nodes
HEENT,Lymph Nodes and Thyroid,Lymph nodes,Supraclavicular lymph nodes,HEENT 10,Relax shoulders,Palpate above clavicle starting centrally and fanning outward,Lymphadenopathy or tenderness,Screens supraclavicular nodes,Supraclavicular nodes,Not enlarged / Enlarged / Tender,Malignancy/infection concern; HEENT exam,heent_lymph_nodes_and_thyroid_lymph_nodes_supraclavicular_lymph_nodes
HEENT,Lymph Nodes and Thyroid,Thyroid,Thyroid inspection and palpation,HEENT 11,Swallow when asked,Inspect from front while swallowing; palpate from behind below cricoid cartilage over both lobes while swallowing,"Thyromegaly, nodules, tenderness, asymmetry",Screens thyroid enlargement or nodules,Thyroid exam,Normal / Enlarged / Nodule / Tender / Asymmetric,Thyroid disease; neck mass; endocrine exam,heent_lymph_nodes_and_thyroid_thyroid_thyroid_inspection_and_palpation
Abdomen,Setup,Positioning,Positioning and draping,Abdomen 1,Lie supine; raise gown with permission; drape waist and legs,Flatten table; lift foot extension; expose abdomen xiphoid to symphysis pubis; stand on right side,Appropriate exposure and comfort,Ensures proper abdominal exam setup,Abdominal exam setup,Completed / Limited / Deferred,Abdominal exam,abdomen_setup_positioning_positioning_and_draping
Abdomen,Core Exam,Inspection,Inspect abdomen,Abdomen 2,Lie supine,Inspect abdomen,"Distension, scars, lesions, asymmetry",Screens abdominal appearance,Abdominal inspection,Flat / Distended / Scar / Lesion / Asymmetric,Abdominal pain; GI/GU exam,abdomen_core_exam_inspection_inspect_abdomen
Abdomen,Core Exam,Auscultation,Auscultate abdomen,Abdomen 3,Lie still,Auscultate before percussion/palpation with diaphragm in one quadrant at least 10 seconds,"Absent, hypoactive, hyperactive sounds",Screens bowel sounds,Bowel sounds,Present / Hypoactive / Hyperactive / Absent,Abdominal pain; obstruction/ileus concern,abdomen_core_exam_auscultation_auscultate_abdomen
Abdomen,Core Exam,Percussion,Percuss abdomen,Abdomen 4,Tell examiner if pain occurs,"If pain present, start away from painful area; percuss all 4 quadrants","Tympany, dullness, pain",Screens gas/fluid/organ dullness,Abdominal percussion,Tympanic / Dullness / Tender / Not done,Abdominal pain; ascites/organomegaly concern,abdomen_core_exam_percussion_percuss_abdomen
Abdomen,Core Exam,Palpation,Light and deep palpation,Abdomen 5,Tell examiner if pain occurs,"If pain present, start away from painful area; palpate lightly and deeply in all 4 quadrants","Tenderness, guarding, masses","Screens tenderness, peritoneal signs, masses",Abdominal palpation,Nontender / Tender ___ / Guarding / Mass ___,Abdominal pain; GI/GU exam,abdomen_core_exam_palpation_light_and_deep_palpation
