exam_id,base_row_number,base_row_fingerprint,source_item,condition_or_syndrome,diagnostic_target,bedside_question_label,bedside_question_options,when_to_use_structured,result_changes_management,management_link,evidence_source_primary,source_citation,LR_plus,LR_minus,evidence_tier,difficulty,time_burden_minutes,equipment_needed,patient_cooperation_required,care_setting,limitations,retrieval_tags
EXAM-019-deltoid-strength,19,1d3b611c,Neuro 19,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,none,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
EXAM-020-biceps-strength,20,77f85458,Neuro 20,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,none,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
EXAM-021-triceps-strength,21,cac85171,Neuro 21,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,none,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
EXAM-022-wrist-extension-strength,22,ea92a097,Neuro 22,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,none,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
EXAM-023-wrist-flexion-strength,23,e14c1d9e,Neuro 23,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,none,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
EXAM-024-hip-flexion-strength,24,3a8bef99,Neuro 24,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,none,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
EXAM-025-knee-extension-strength,25,e537b5a8,Neuro 25,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,none,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
EXAM-026-knee-flexion-strength,26,8ea758d3,Neuro 26,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,none,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
EXAM-027-ankle-dorsiflexion-strength,27,ca424341,Neuro 27,DKA_HHS; hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; inpatient_diabetes; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,DKA_HHS; diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; inpatient_diabetes; neuro; pituitary_sellar; stroke,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,none,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",DKA_HHS; diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; inpatient_diabetes; neuro; pituitary_sellar; stroke; weakness
EXAM-028-ankle-plantarflexion-strength,28,b93ab3c4,Neuro 28,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,none,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
EXAM-029-sensory-exam-setup,29,2d182ecc,Neuro sensation prep,DKA_HHS; hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; inpatient_diabetes; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,DKA_HHS; diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; inpatient_diabetes; neuro; pituitary_sellar; stroke,"A management-relevant Sensory exam setup finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.","A management-relevant Sensory exam setup finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,easy,1,cotton or disposable sharp,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",DKA_HHS; diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; inpatient_diabetes; neuro; pituitary_sellar; stroke; weakness
EXAM-030-extremity-light-touch,30,ee395aa0,Neuro 29,DKA_HHS; hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; inpatient_diabetes; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,DKA_HHS; diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; inpatient_diabetes; neuro; pituitary_sellar; stroke,"A management-relevant Extremity light touch finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.","A management-relevant Extremity light touch finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,easy,1,cotton or disposable sharp,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",DKA_HHS; diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; inpatient_diabetes; neuro; pituitary_sellar; stroke; weakness
EXAM-031-extremity-pinprick,31,116d33c1,Neuro 30,DKA_HHS; hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; inpatient_diabetes; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,DKA_HHS; diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; inpatient_diabetes; neuro; pituitary_sellar; stroke,"A management-relevant Extremity pinprick finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.","A management-relevant Extremity pinprick finding can change bedside severity assessment, monitoring, diagnostic workup, or escalation today.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,easy,1,cotton or disposable sharp,low,inpatient bedside; consult rounds; ward or stepdown,"Finding is bedside-supportive and should be interpreted with vitals, labs, imaging, and trajectory.",DKA_HHS; diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; inpatient_diabetes; neuro; pituitary_sellar; stroke; weakness
EXAM-032-vibration-sense,32,c21c27e3,Neuro 31,DKA_HHS; hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; inpatient_diabetes; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,DKA_HHS; diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; inpatient_diabetes; neuro; pituitary_sellar; stroke,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,tuning fork,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",DKA_HHS; diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; inpatient_diabetes; neuro; pituitary_sellar; stroke; weakness
EXAM-033-great-toe-proprioception,33,13b31f59,Neuro 32,DKA_HHS; hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; inpatient_diabetes; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,DKA_HHS; diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; inpatient_diabetes; neuro; pituitary_sellar; stroke,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,none,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",DKA_HHS; diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; inpatient_diabetes; neuro; pituitary_sellar; stroke; weakness
EXAM-037-patellar-reflex,37,6ba2dcb2,Neuro 36,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,reflex hammer,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
EXAM-038-achilles-reflex,38,a203936d,Neuro 37,hypoglycemia; hyponatremia; hypercalcemia; pituitary_sellar; stroke,"Optic pathway, ocular motor, or sellar mass effect","Have you noticed vision loss, double vision, new headache, weakness, or dizziness?",No / Vision loss / Double vision / Headache / Weakness / Dizziness / Other ___,diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness,"A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.","A new focal neurologic, sensory, reflex, or gait abnormality can change localization, imaging urgency, fall precautions, and endocrine-electrolyte severity framing.",JAMA_RCE,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,,,A,moderate,2,reflex hammer,moderate,inpatient bedside; consult rounds; ward or stepdown,"Technique and patient cooperation can limit reliability; interpret with vitals, labs, imaging, and trajectory.",diagnostic_safety; hypercalcemia; hypoglycemia; hyponatremia; inpatient_bedside; neuro; pituitary_sellar; stroke; weakness
