exam_system,section,region_or_subsection,maneuver_or_finding,source_item,patient_instruction_or_setup,examiner_technique,how_to_perform,observe_or_positive_finding,function_or_clinical_use,suggested_checklist_label,suggested_options,include_when,exam_id
Neuro,Cranial Nerves,CN VIII,Weber test,Neuro 12,Say whether sound is equal in both ears or louder on one side,Use 512 Hz tuning fork; strike fork; place on midline top of head,Set up or position the patient: Say whether sound is equal in both ears or louder on one side. Perform the maneuver: Use 512 Hz tuning fork; strike fork; place on midline top of head. Assess and document: Lateralizes right or left.,Lateralizes right or left,Distinguishes conductive vs sensorineural hearing loss with Rinne,Weber test,Midline / Lateralizes right / Lateralizes left / Unable,Hearing loss evaluation,neuro_cranial_nerves_cn_viii_weber_test
Neuro,Cranial Nerves,CN VIII,Rinne test,Neuro 13,"Say when sound behind ear stops, then whether sound is heard in front of ear",Use 512 Hz tuning fork; place on mastoid; when stopped move to front of ear canal; repeat other ear,"Set up or position the patient: Say when sound behind ear stops, then whether sound is heard in front of ear. Perform the maneuver: Use 512 Hz tuning fork; place on mastoid; when stopped move to front of ear canal; repeat other ear. Assess and document: Air conduction greater than bone conduction or bone conduction greater/equal.",Air conduction greater than bone conduction or bone conduction greater/equal,Compares air vs bone conduction,Rinne test,AC > BC bilaterally / BC >= AC right / BC >= AC left / Unable,Hearing loss evaluation,neuro_cranial_nerves_cn_viii_rinne_test
Neuro,Cranial Nerves,CN IX X,Palate elevation,Neuro 14,Open mouth and say ahh,Use light source; observe palate and uvula,Set up or position the patient: Open mouth and say ahh. Perform the maneuver: Use light source; observe palate and uvula. Assess and document: Asymmetric elevation or absent movement.,Asymmetric elevation or absent movement,CN IX sensory/gag afferent and CN X palate/pharynx motor,Palate elevation,Symmetric / Asymmetric / Absent / Unable,Dysphagia; dysarthria; bulbar concern; cranial nerve exam,neuro_cranial_nerves_cn_ix_x_palate_elevation
Neuro,Cranial Nerves,CN XI,Sternocleidomastoid strength,Neuro 15,Rotate head against resistance,Place one hand on shoulder and other on opposite cheek; push head toward midline; repeat other side,Set up or position the patient: Rotate head against resistance. Perform the maneuver: Place one hand on shoulder and other on opposite cheek; push head toward midline; repeat other side. Assess and document: Weakness or asymmetry.,Weakness or asymmetry,Screens CN XI sternocleidomastoid,SCM strength,Symmetric / Weak right / Weak left / Unable,Cranial nerve exam; neck weakness,neuro_cranial_nerves_cn_xi_sternocleidomastoid_strength
Neuro,Cranial Nerves,CN XI,Trapezius strength,Neuro 16,Shrug shoulders and keep them up,Push shoulders down,Set up or position the patient: Shrug shoulders and keep them up. Perform the maneuver: Push shoulders down. Assess and document: Weakness or asymmetry.,Weakness or asymmetry,Screens CN XI trapezius,Trapezius strength,Symmetric / Weak right / Weak left / Unable,Cranial nerve exam; shoulder/neck weakness,neuro_cranial_nerves_cn_xi_trapezius_strength
Neuro,Cranial Nerves,CN XII,Tongue protrusion,Neuro 17,"Open mouth, stick tongue out, and move side to side",Observe tongue protrusion and lateral movement,"Set up or position the patient: Open mouth, stick tongue out, and move side to side. Perform the maneuver: Observe tongue protrusion and lateral movement. Assess and document: Deviation or weakness.",Deviation or weakness,Screens hypoglossal nerve motor function,Tongue protrusion,Midline / Deviates right / Deviates left / Unable,Bulbar symptoms; dysarthria; cranial nerve exam,neuro_cranial_nerves_cn_xii_tongue_protrusion
Neuro,Motor,Upper extremity,Pronator drift,Neuro 18,"Hold arms straight out, palms up, close eyes",Observe at least 5 seconds,"Set up or position the patient: Hold arms straight out, palms up, close eyes. Perform the maneuver: Observe at least 5 seconds. Assess and document: Pronation or downward drift.",Pronation or downward drift,Screens subtle upper motor neuron weakness,Pronator drift,Absent / Present right / Present left / Unable,Weakness; stroke; myelopathy; neuro exam,neuro_motor_upper_extremity_pronator_drift
Neuro,Motor,Upper extremity,Deltoid strength,Neuro 19,Arms out to side with elbows bent like chicken wings; resist downward push,Hands proximal to elbows; push down; test bilaterally together or one at a time,Set up or position the patient: Arms out to side with elbows bent like chicken wings; resist downward push. Perform the maneuver: Hands proximal to elbows; push down; test bilaterally together or one at a time. Assess and document: Weakness grade or asymmetry.,Weakness grade or asymmetry,Screens shoulder abduction strength,Deltoid strength,0 / 1 / 2 / 3 / 4 / 5,Upper extremity weakness; neuro/MSK exam,neuro_motor_upper_extremity_deltoid_strength
Neuro,Motor,Upper extremity,Biceps strength,Neuro 20,Arms in boxing position; resist forearm being pulled anteriorly,Stabilize proximal to elbow; pull forearm; one arm at a time,Set up or position the patient: Arms in boxing position; resist forearm being pulled anteriorly. Perform the maneuver: Stabilize proximal to elbow; pull forearm; one arm at a time. Assess and document: Weakness grade or asymmetry.,Weakness grade or asymmetry,Screens elbow flexion,Biceps strength,0 / 1 / 2 / 3 / 4 / 5,Upper extremity weakness; neuro/MSK exam,neuro_motor_upper_extremity_biceps_strength
Neuro,Motor,Upper extremity,Triceps strength,Neuro 21,Arms in boxing position; resist forearm being pushed posteriorly,Stabilize proximal to elbow; push forearm; one arm at a time,Set up or position the patient: Arms in boxing position; resist forearm being pushed posteriorly. Perform the maneuver: Stabilize proximal to elbow; push forearm; one arm at a time. Assess and document: Weakness grade or asymmetry.,Weakness grade or asymmetry,Screens elbow extension,Triceps strength,0 / 1 / 2 / 3 / 4 / 5,Upper extremity weakness; neuro/MSK exam,neuro_motor_upper_extremity_triceps_strength
Neuro,Motor,Upper extremity,Wrist extensor strength,Neuro 22,Lift hand toward ceiling and resist downward push,Stabilize proximal to wrist; test one wrist at a time,Set up or position the patient: Lift hand toward ceiling and resist downward push. Perform the maneuver: Stabilize proximal to wrist; test one wrist at a time. Assess and document: Weakness grade or asymmetry.,Weakness grade or asymmetry,Screens wrist extension,Wrist extension strength,0 / 1 / 2 / 3 / 4 / 5,Radial nerve concern; upper extremity weakness,neuro_motor_upper_extremity_wrist_extensor_strength
Neuro,Motor,Upper extremity,Wrist flexor strength,Neuro 23,Move hand toward floor and resist upward push,Stabilize proximal to wrist; test one wrist at a time,Set up or position the patient: Move hand toward floor and resist upward push. Perform the maneuver: Stabilize proximal to wrist; test one wrist at a time. Assess and document: Weakness grade or asymmetry.,Weakness grade or asymmetry,Screens wrist flexion,Wrist flexion strength,0 / 1 / 2 / 3 / 4 / 5,Upper extremity weakness,neuro_motor_upper_extremity_wrist_flexor_strength
Neuro,Motor,Lower extremity,Hip flexor strength,Neuro 24,Lift thigh off table and resist downward push; hands may support but not leverage,Push thigh down; test one leg at a time,Set up or position the patient: Lift thigh off table and resist downward push; hands may support but not leverage. Perform the maneuver: Push thigh down; test one leg at a time. Assess and document: Weakness grade or asymmetry.,Weakness grade or asymmetry,Screens hip flexion,Hip flexion strength,0 / 1 / 2 / 3 / 4 / 5,Lower extremity weakness; myelopathy; radiculopathy,neuro_motor_lower_extremity_hip_flexor_strength
Neuro,Motor,Lower extremity,Knee extensor strength,Neuro 25,Straighten leg and resist downward push,Stabilize thigh with one hand; push distal leg down,Set up or position the patient: Straighten leg and resist downward push. Perform the maneuver: Stabilize thigh with one hand; push distal leg down. Assess and document: Weakness grade or asymmetry.,Weakness grade or asymmetry,Screens knee extension,Knee extension strength,0 / 1 / 2 / 3 / 4 / 5,Lower extremity weakness,neuro_motor_lower_extremity_knee_extensor_strength
Neuro,Motor,Lower extremity,Knee flexor strength,Neuro 26,Resist distal leg being pulled anteriorly,Stabilize thigh carefully; pull distal leg anteriorly,Set up or position the patient: Resist distal leg being pulled anteriorly. Perform the maneuver: Stabilize thigh carefully; pull distal leg anteriorly. Assess and document: Weakness grade or asymmetry.,Weakness grade or asymmetry,Screens knee flexion,Knee flexion strength,0 / 1 / 2 / 3 / 4 / 5,Lower extremity weakness,neuro_motor_lower_extremity_knee_flexor_strength
Neuro,Motor,Lower extremity,Ankle dorsiflexion strength,Neuro 27,Point foot up toward ceiling and resist downward push,Stabilize proximal to ankle; test one ankle at a time,Set up or position the patient: Point foot up toward ceiling and resist downward push. Perform the maneuver: Stabilize proximal to ankle; test one ankle at a time. Assess and document: Weakness grade or asymmetry.,Weakness grade or asymmetry,Screens ankle dorsiflexion,Ankle dorsiflexion strength,0 / 1 / 2 / 3 / 4 / 5,Foot drop; lower extremity weakness,neuro_motor_lower_extremity_ankle_dorsiflexion_strength
Neuro,Motor,Lower extremity,Ankle plantarflexion strength,Neuro 28,Point foot down toward floor and resist upward push,Stabilize proximal to ankle; test one ankle at a time,Set up or position the patient: Point foot down toward floor and resist upward push. Perform the maneuver: Stabilize proximal to ankle; test one ankle at a time. Assess and document: Weakness grade or asymmetry.,Weakness grade or asymmetry,Screens ankle plantarflexion,Ankle plantarflexion strength,0 / 1 / 2 / 3 / 4 / 5,Lower extremity weakness,neuro_motor_lower_extremity_ankle_plantarflexion_strength
Neuro,Sensation,Preparation,Sensory exam setup,Neuro sensation prep,Remove footwear; roll sleeves up; lift gown to middle of thigh; place hands at side,Expose skin appropriately for symmetric sensory testing,Set up or position the patient: Remove footwear; roll sleeves up; lift gown to middle of thigh; place hands at side. Perform the maneuver: Expose skin appropriately for symmetric sensory testing. Assess and document: Adequate exposure and symmetry.,Adequate exposure and symmetry,Improves reliability of sensory testing,Sensory exam setup,Completed / Limited by exposure / Deferred,Focused sensory exam,neuro_sensation_preparation_sensory_exam_setup
Neuro,Sensation,Extremities,Light touch extremities,Neuro 29,Say whether sensation feels the same or similar at symmetric locations,"Use soft cotton-tipped applicator on arms mid-arm, hands/fingers, legs/thighs, feet/toes bilaterally on skin","Set up or position the patient: Say whether sensation feels the same or similar at symmetric locations. Perform the maneuver: Use soft cotton-tipped applicator on arms mid-arm, hands/fingers, legs/thighs, feet/toes bilaterally on skin. Assess and document: Diminished, absent, asymmetric, level.","Diminished, absent, asymmetric, level",Screens large-fiber light touch distribution,Extremity light touch,Intact / Diminished / Absent / Sensory level ___,Numbness; neuropathy; myelopathy; stroke,neuro_sensation_extremities_light_touch_extremities
Neuro,Sensation,Extremities,Sharp touch extremities,Neuro 30,Say whether each location feels sharp and same or similar,"Use broken cotton-tipped applicator sharp point on arms, hands, legs, feet bilaterally on skin","Set up or position the patient: Say whether each location feels sharp and same or similar. Perform the maneuver: Use broken cotton-tipped applicator sharp point on arms, hands, legs, feet bilaterally on skin. Assess and document: Diminished, absent, asymmetric, level.","Diminished, absent, asymmetric, level",Screens pain sensation,Extremity pinprick,Intact / Diminished / Absent / Sensory level ___,Numbness; neuropathy; myelopathy,neuro_sensation_extremities_sharp_touch_extremities
Neuro,Sensation,Great toes,Vibration,Neuro 31,Say if vibration is felt and when it stops,Use 128 Hz tuning fork; demonstrate on wrist; test IP joint of big toe; move proximal to lateral malleolus if not sensed; test bilaterally,Set up or position the patient: Say if vibration is felt and when it stops. Perform the maneuver: Use 128 Hz tuning fork; demonstrate on wrist; test IP joint of big toe; move proximal to lateral malleolus if not sensed; test bilaterally. Assess and document: Reduced or absent vibration.,Reduced or absent vibration,Screens dorsal column/large-fiber neuropathy,Vibration sense,Intact / Diminished / Absent / Unable,Neuropathy; B12 deficiency; dorsal column disease; diabetes,neuro_sensation_great_toes_vibration
Neuro,Sensation,Great toes,Proprioception,Neuro 32,"Learn up/down, close eyes, report toe movement direction",Hold big toe by sides; support proximal joint; move slightly up or down; at least 3 movements each great toe,"Set up or position the patient: Learn up/down, close eyes, report toe movement direction. Perform the maneuver: Hold big toe by sides; support proximal joint; move slightly up or down; at least 3 movements each great toe. Assess and document: Incorrect direction or absent position sense.",Incorrect direction or absent position sense,Screens dorsal column proprioception,Great toe proprioception,Intact / Diminished / Absent / Unable,Neuropathy; dorsal column disease; ataxia,neuro_sensation_great_toes_proprioception
Neuro,Reflexes,Upper extremity,Biceps reflex,Neuro 33,Relax arm,Place thumb or fingers over biceps tendon and strike finger with reflex hammer; test bilaterally,"Set up or position the patient: Relax arm. Perform the maneuver: Place thumb or fingers over biceps tendon and strike finger with reflex hammer; test bilaterally. Assess and document: Absent, diminished, brisk, clonus/asymmetry.","Absent, diminished, brisk, clonus/asymmetry",Screens C5-C6 reflex arc,Biceps reflex,Absent / Diminished / Normal / Brisk / Clonus,Weakness; myelopathy; radiculopathy,neuro_reflexes_upper_extremity_biceps_reflex
Neuro,Reflexes,Upper extremity,Brachioradialis reflex,Neuro 34,Relax arm,Strike 1-2 inches proximal to wrist on radial side of forearm; test bilaterally,"Set up or position the patient: Relax arm. Perform the maneuver: Strike 1-2 inches proximal to wrist on radial side of forearm; test bilaterally. Assess and document: Absent, diminished, brisk, clonus/asymmetry.","Absent, diminished, brisk, clonus/asymmetry",Screens C5-C6 reflex arc,Brachioradialis reflex,Absent / Diminished / Normal / Brisk / Clonus,Weakness; myelopathy; radiculopathy,neuro_reflexes_upper_extremity_brachioradialis_reflex
Neuro,Reflexes,Upper extremity,Triceps reflex,Neuro 35,Relax arm,Abduct arm to 90 degrees with forearm dangling while supporting proximal to elbow; strike triceps tendon; test bilaterally,"Set up or position the patient: Relax arm. Perform the maneuver: Abduct arm to 90 degrees with forearm dangling while supporting proximal to elbow; strike triceps tendon; test bilaterally. Assess and document: Absent, diminished, brisk, clonus/asymmetry.","Absent, diminished, brisk, clonus/asymmetry",Screens C7-C8 reflex arc,Triceps reflex,Absent / Diminished / Normal / Brisk / Clonus,Weakness; myelopathy; radiculopathy,neuro_reflexes_upper_extremity_triceps_reflex
Neuro,Reflexes,Lower extremity,Patellar reflex,Neuro 36,Relax leg,Strike patellar tendon below patella; test bilaterally,"Set up or position the patient: Relax leg. Perform the maneuver: Strike patellar tendon below patella; test bilaterally. Assess and document: Absent, diminished, brisk, clonus/asymmetry.","Absent, diminished, brisk, clonus/asymmetry",Screens L3-L4 reflex arc,Patellar reflex,Absent / Diminished / Normal / Brisk / Clonus,Weakness; myelopathy; radiculopathy,neuro_reflexes_lower_extremity_patellar_reflex
Neuro,Reflexes,Lower extremity,Achilles reflex,Neuro 37,Relax ankle,Hold ball of foot; passively dorsiflex to 90 degrees; strike Achilles tendon; test bilaterally,"Set up or position the patient: Relax ankle. Perform the maneuver: Hold ball of foot; passively dorsiflex to 90 degrees; strike Achilles tendon; test bilaterally. Assess and document: Absent, diminished, brisk, clonus/asymmetry.","Absent, diminished, brisk, clonus/asymmetry",Screens S1 reflex arc,Achilles reflex,Absent / Diminished / Normal / Brisk / Clonus,Weakness; myelopathy; neuropathy,neuro_reflexes_lower_extremity_achilles_reflex
Neuro,Reflexes,Lower extremity,Plantar reflex Babinski sign,Neuro 38,Relax foot,Use pointed end of reflex hammer; scrape plantar foot from heel up lateral aspect and across ball toward big toe; test bilaterally,Set up or position the patient: Relax foot. Perform the maneuver: Use pointed end of reflex hammer; scrape plantar foot from heel up lateral aspect and across ball toward big toe; test bilaterally. Assess and document: Upgoing toe or no response.,Upgoing toe or no response,Screens upper motor neuron sign,Babinski sign,Downgoing / Upgoing right / Upgoing left / Upgoing both / Equivocal,Myelopathy; stroke; upper motor neuron concern,neuro_reflexes_lower_extremity_plantar_reflex_babinski_sign
Neuro,Coordination and Gait,Upper extremity,Finger-to-nose,Neuro 39,"Touch nose with index finger, then touch examiner finger, then return to nose",Extend target through all four quadrants; test both hands,"Set up or position the patient: Touch nose with index finger, then touch examiner finger, then return to nose. Perform the maneuver: Extend target through all four quadrants; test both hands. Assess and document: Dysmetria, intention tremor, ataxia.","Dysmetria, intention tremor, ataxia",Screens cerebellar coordination,Finger-to-nose,Normal / Impaired right / Impaired left / Impaired both / Unable,Ataxia; cerebellar disease; intoxication; stroke,neuro_coordination_and_gait_upper_extremity_finger_to_nose
Neuro,Coordination and Gait,Upper extremity,Rapid alternating movements,Neuro 40,Alternately slap dorsal and palmar hand against thigh; mimic examiner,Test one hand at a time; at least 5 cycles each,Set up or position the patient: Alternately slap dorsal and palmar hand against thigh; mimic examiner. Perform the maneuver: Test one hand at a time; at least 5 cycles each. Assess and document: Dysdiadochokinesia or slowness.,Dysdiadochokinesia or slowness,Screens cerebellar coordination,Rapid alternating movements,Normal / Slow right / Slow left / Impaired both / Unable,Ataxia; cerebellar disease,neuro_coordination_and_gait_upper_extremity_rapid_alternating_movements
Neuro,Coordination and Gait,Lower extremity,Heel-to-shin,Neuro 41,"Place heel on opposite knee and drag down shin to ankle, then back to knee",Test both legs,"Set up or position the patient: Place heel on opposite knee and drag down shin to ankle, then back to knee. Perform the maneuver: Test both legs. Assess and document: Ataxia or dysmetria.",Ataxia or dysmetria,Screens lower extremity coordination,Heel-to-shin,Normal / Impaired right / Impaired left / Impaired both / Unable,Ataxia; cerebellar disease,neuro_coordination_and_gait_lower_extremity_heel_to_shin
Neuro,Coordination and Gait,Gait,Gait,Neuro 42,"Walk across room, turn, and walk back",Observe gait,"Set up or position the patient: Walk across room, turn, and walk back. Perform the maneuver: Observe gait. Assess and document: Unsteady, shuffling, wide-based, antalgic.","Unsteady, shuffling, wide-based, antalgic",Screens gait and functional mobility,Gait,Steady / Unsteady / Antalgic / Unable,Falls; weakness; dizziness; neuro/MSK exam,neuro_coordination_and_gait_gait_gait
Neuro,Coordination and Gait,Gait,Toe walking,Neuro 43,Walk away on toes,Observe ability,Set up or position the patient: Walk away on toes. Perform the maneuver: Observe ability. Assess and document: Unable or asymmetric weakness.,Unable or asymmetric weakness,Screens plantarflexion/S1 function,Toe walking,Intact / Impaired / Unable,Radiculopathy; weakness; gait exam,neuro_coordination_and_gait_gait_toe_walking
Neuro,Coordination and Gait,Gait,Heel walking,Neuro 44,Walk toward examiner on heels,Observe ability,Set up or position the patient: Walk toward examiner on heels. Perform the maneuver: Observe ability. Assess and document: Unable or asymmetric weakness.,Unable or asymmetric weakness,Screens dorsiflexion/L4-L5 function,Heel walking,Intact / Impaired / Unable,Foot drop; radiculopathy; gait exam,neuro_coordination_and_gait_gait_heel_walking
Neuro,Coordination and Gait,Gait,Heel-to-toe tandem gait,Neuro 45,"Walk heel-to-toe, one foot in front of the other",Walk with patient for safety,"Set up or position the patient: Walk heel-to-toe, one foot in front of the other. Perform the maneuver: Walk with patient for safety. Assess and document: Imbalance or inability.",Imbalance or inability,Screens balance/cerebellar function,Tandem gait,Intact / Unsteady / Unable / Deferred for safety,Ataxia; falls; intoxication; neuro exam,neuro_coordination_and_gait_gait_heel_to_toe_tandem_gait
Neuro,Coordination and Gait,Balance,Romberg,Neuro 46,"Stand with feet together and arms at side, then close eyes",Apply contact guard near patient; observe at least 5 seconds,"Set up or position the patient: Stand with feet together and arms at side, then close eyes. Perform the maneuver: Apply contact guard near patient; observe at least 5 seconds. Assess and document: Sways or falls with eyes closed.",Sways or falls with eyes closed,Screens proprioceptive balance,Romberg,Negative / Positive / Deferred for safety,Sensory ataxia; neuropathy; balance concern,neuro_coordination_and_gait_balance_romberg
Neuro,Hearing Interpretation,CN VIII,Rinne normal interpretation,Neuro Rinne physics,N/A,Interpret Rinne result,Set up or position the patient: N/A. Perform the maneuver: Interpret Rinne result. Assess and document: Air conduction greater than bone conduction is normal.,Air conduction greater than bone conduction is normal,Air conduction benefits from tympanic membrane and ossicle amplification and broader frequency range,Rinne interpretation,Normal AC > BC / Conductive pattern BC >= AC / Unable,When Rinne performed,neuro_hearing_interpretation_cn_viii_rinne_normal_interpretation
Neuro,Hearing Interpretation,CN VIII,Rinne conductive loss interpretation,Neuro Rinne physics,N/A,Interpret Rinne result,Set up or position the patient: N/A. Perform the maneuver: Interpret Rinne result. Assess and document: Bone conduction greater or equal air conduction suggests conductive loss.,Bone conduction greater or equal air conduction suggests conductive loss,"Bone conduction bypasses conductive block such as wax, fluid, or ossicle problem",Rinne conductive pattern,Absent / Present right / Present left / Present bilateral,Hearing loss evaluation,neuro_hearing_interpretation_cn_viii_rinne_conductive_loss_interpretation
Neuro,Hearing Interpretation,CN VIII,Weber normal interpretation,Neuro Weber physics,N/A,Interpret Weber result,Set up or position the patient: N/A. Perform the maneuver: Interpret Weber result. Assess and document: Sound midline is normal.,Sound midline is normal,Skull vibration reaches both cochleae equally by bone conduction,Weber interpretation,Midline / Lateralizes right / Lateralizes left,When Weber performed,neuro_hearing_interpretation_cn_viii_weber_normal_interpretation
Neuro,Hearing Interpretation,CN VIII,Weber conductive loss interpretation,Neuro Weber physics,N/A,Interpret Weber result,Set up or position the patient: N/A. Perform the maneuver: Interpret Weber result. Assess and document: Sound lateralizes to bad ear in conductive loss.,Sound lateralizes to bad ear in conductive loss,Less ambient sound and altered tympanic membrane tension can make bone-conducted sound clearer,Weber conductive pattern,Possible right conductive / Possible left conductive / Not suggested,Hearing loss evaluation,neuro_hearing_interpretation_cn_viii_weber_conductive_loss_interpretation
Neuro,Hearing Interpretation,CN VIII,Weber sensorineural loss interpretation,Neuro Weber physics,N/A,Interpret Weber result,Set up or position the patient: N/A. Perform the maneuver: Interpret Weber result. Assess and document: Sound lateralizes to good ear in sensorineural loss.,Sound lateralizes to good ear in sensorineural loss,Damaged cochlea or auditory nerve detects both air and bone conduction poorly,Weber sensorineural pattern,Possible right sensorineural / Possible left sensorineural / Not suggested,Hearing loss evaluation,neuro_hearing_interpretation_cn_viii_weber_sensorineural_loss_interpretation
HEENT,Head,Scalp,Scalp inspection and palpation,HEENT 1,Sit comfortably,Inspect scalp; palpate with fingertips and palms,"Set up or position the patient: Sit comfortably. Perform the maneuver: Inspect scalp; palpate with fingertips and palms. Assess and document: Lesions, tenderness, swelling.","Lesions, tenderness, swelling","Screens scalp trauma, lesions, tenderness",Scalp exam,Normal / Lesion / Tenderness / Swelling,Headache; trauma; HEENT exam,heent_head_scalp_scalp_inspection_and_palpation
