source_id,source_name,source_type,url_or_doi,date_accessed,license_access_notes,preferred_citation
ASH_VTE_DIAGNOSIS,ASH VTE Guidelines for Diagnosis of Venous Thromboembolism,diagnostic_guideline,https://www.hematology.org/education/clinicians/guidelines-and-quality-care/clinical-practice-guidelines/venous-thromboembolism-guidelines/diagnosis,2026-06-07,ASH public guideline page; cite and paraphrase diagnostic strategy recommendations for PE and DVT.,American Society of Hematology. Guidelines for Management of Venous Thromboembolism: Diagnosis of VTE.
CDC_VTE_DIAGNOSIS,CDC Testing and Diagnosis for Venous Thromboembolism,diagnostic_overview,https://www.cdc.gov/blood-clots/testing-diagnosis/index.html,2026-06-07,CDC public overview; cite and paraphrase VTE diagnostic testing overview.,Centers for Disease Control and Prevention. Testing and Diagnosis for Venous Thromboembolism.
AASM_OSA_DIAGNOSTIC_2017,Diagnostic Testing for Adult Obstructive Sleep Apnea,management_guideline,https://aasm.org/resources/clinicalguidelines/diagnostic-testing-osa.pdf,2026-06-07,AASM guideline PDF is publicly posted; cite and paraphrase recommendations without reproducing long passages.,"Kapur VK, Auckley DH, Chowdhuri S, et al. Clinical Practice Guideline for Diagnostic Testing for Adult Obstructive Sleep Apnea. J Clin Sleep Med. 2017;13(3):479-504."
ACOG_ENDOMETRIOSIS_DIAGNOSIS_2026,Diagnosis of Endometriosis,management_guideline,https://www.acog.org/clinical/clinical-guidance/clinical-practice-guideline/articles/2026/03/diagnosis-of-endometriosis,2026-06-07,ACOG clinical guidance page; cite and paraphrase recommendations without reproducing long passages.,American College of Obstetricians and Gynecologists. Diagnosis of Endometriosis. Clinical Practice Guideline. 2026.
AAFP_ACUTE_ABD_PAIN_2023,Acute Abdominal Pain in Adults: Evaluation and Diagnosis,clinical_review,https://www.aafp.org/afp/2023/0600/acute-abdominal-pain-adults.pdf,2026-06-07,Public clinical review; cite and paraphrase initial history exam lab and imaging approach.,American Family Physician. Acute Abdominal Pain in Adults: Evaluation and Diagnosis. 2023.
ACR_RLQ_PAIN_2022,ACR Appropriateness Criteria Right Lower Quadrant Pain 2022 Update,imaging_guideline,https://pubmed.ncbi.nlm.nih.gov/36436969/,2026-06-07,PubMed record and ACR appropriateness criteria; cite and paraphrase imaging recommendations by scenario.,ACR Appropriateness Criteria. Right Lower Quadrant Pain: 2022 Update.
ACR_RUQ_PAIN_2022,ACR Appropriateness Criteria Right Upper Quadrant Pain 2022 Update,imaging_guideline,https://pubmed.ncbi.nlm.nih.gov/37236744/,2026-06-07,PubMed record and ACR appropriateness criteria; cite and paraphrase imaging recommendations by scenario.,ACR Appropriateness Criteria. Right Upper Quadrant Pain: 2022 Update.
IDSA_CUTI_2025,IDSA Guideline Update on Complicated Urinary Tract Infections,management_guideline,https://www.idsociety.org/~/link/bc125f1fa47a47b7913b884cd368e8a0.aspx,2026-06-07,IDSA guideline page; cite and paraphrase classification diagnostic and treatment-selection recommendations.,Infectious Diseases Society of America. 2025 Guideline Update on Complicated Urinary Tract Infections.
EAU_URO_INFECTIONS,EAU Guidelines on Urological Infections,management_guideline,https://uroweb.org/guidelines/urological-infections/chapter/the-guideline,2026-06-07,EAU guideline web chapter; cite and paraphrase systemic UTI pyelonephritis culture pregnancy testing and urosepsis recommendations.,European Association of Urology. Guidelines on Urological Infections.
ACOG_UTI_PREGNANCY_2023,Urinary Tract Infections in Pregnant Individuals,management_guideline,https://www.acog.org/clinical/clinical-guidance/clinical-consensus/articles/2023/08/urinary-tract-infections-in-pregnant-individuals,2026-06-07,ACOG clinical consensus; cite and paraphrase pregnancy UTI and pyelonephritis recommendations.,American College of Obstetricians and Gynecologists. Urinary Tract Infections in Pregnant Individuals. Clinical Consensus. 2023.
NICE_RENAL_STONES,Renal and Ureteric Stones Assessment and Management,management_guideline,https://www.ncbi.nlm.nih.gov/books/NBK542074/,2026-06-07,NICE guideline available via NCBI Bookshelf; cite and paraphrase renal colic assessment and imaging recommendations.,National Institute for Health and Care Excellence. Renal and ureteric stones: assessment and management.
ES_INPATIENT_HYPERGLYCEMIA,Management of Hyperglycemia in Hospitalized Adult Patients in Non-Critical Care Settings,management_guideline,https://www.endocrine.org/clinical-practice-guidelines/inpatient-hyperglycemia-guideline-resources,2026-06-06,Endocrine Society guideline resource; cite recommendations and paraphrase.,Endocrine Society. Inpatient Hyperglycemia Guideline Resources.
ES_ADRENAL_INSUFFICIENCY,Diagnosis and Treatment of Primary Adrenal Insufficiency,management_guideline,https://www.endocrine.org/clinical-practice-guidelines/primary-adrenal-insufficiency,2026-06-06,Endocrine Society guideline resource; cite recommendations and paraphrase.,Endocrine Society. Primary Adrenal Insufficiency Guideline Resources.
ES_HYPERCALCEMIA_MALIGNANCY,Treatment of Hypercalcemia of Malignancy in Adults,management_guideline,https://www.endocrine.org/the-latest/new-cpg,2026-06-06,Endocrine Society guideline resource; cite recommendations and paraphrase.,Endocrine Society. Hypercalcemia Guideline Resources.
ES_PITUITARY_INCIDENTALOMA,Pituitary Incidentaloma: An Endocrine Society Clinical Practice Guideline,management_guideline,https://support.endocrine.org/clinical-practice-guidelines/pituitary-incidentaloma,2026-06-06,Endocrine Society guideline resource; cite recommendations and paraphrase.,Endocrine Society. Pituitary Incidentaloma Clinical Practice Guideline.
ADA_HYPERGLYCEMIC_CRISES_2024,Hyperglycemic Crises in Adults With Diabetes: A Consensus Report,management_guideline,https://diabetesjournals.org/care/article/47/8/1257/156808/Hyperglycemic-Crises-in-Adults-With-Diabetes-A,2026-06-06,Free consensus report page; cite and paraphrase.,"ADA, EASD, JBDS, AACE, DTS. Hyperglycemic Crises in Adults With Diabetes: A Consensus Report. Diabetes Care. 2024."
ADA_STANDARDS_HOSPITAL_2026,Diabetes Care in the Hospital: Standards of Care in Diabetes-2026,management_guideline,https://doi.org/10.2337/dc26-S016,2026-06-06,ADA Standards of Care section; cite current annual recommendations and paraphrase.,American Diabetes Association Professional Practice Committee. Standards of Care in Diabetes-2026. Section 16.
ATA_HYPOTHYROIDISM_2014,ATA Guidelines for the Treatment of Hypothyroidism,management_guideline,https://www.thyroid.org/professionals/ata-professional-guidelines/,2026-06-06,ATA public guideline index; cite current ATA listing and paraphrase.,American Thyroid Association Task Force on Thyroid Hormone Replacement. Guidelines for the Treatment of Hypothyroidism. Thyroid. 2014.
ATA_HYPERTHYROIDISM_2016,ATA Guidelines for Diagnosis and Management of Hyperthyroidism and Other Causes of Thyrotoxicosis,management_guideline,https://www.thyroid.org/professionals/ata-professional-guidelines/,2026-06-06,ATA public guideline index; cite current ATA listing and paraphrase.,Ross DS et al. 2016 American Thyroid Association Guidelines for Hyperthyroidism and Thyrotoxicosis. Thyroid. 2016.
ATA_THYROID_NODULE_DTC_2015,ATA Management Guidelines for Adult Patients with Thyroid Nodules and Differentiated Thyroid Cancer,management_guideline,https://www.thyroid.org/professionals/ata-professional-guidelines/,2026-06-06,ATA public guideline index; cite current ATA listing and paraphrase.,Haugen BR et al. 2015 ATA Management Guidelines for Adult Patients with Thyroid Nodules and Differentiated Thyroid Cancer. Thyroid. 2016.
ATA_THYROID_CANCER_2025,ATA Management Guidelines for Adult Patients with Differentiated Thyroid Cancer,management_guideline,https://www.thyroid.org/professionals/ata-professional-guidelines/,2026-06-06,ATA public guideline index; cite current ATA listing and paraphrase.,Ringel MD et al. 2025 American Thyroid Association Management Guidelines for Adult Patients with Differentiated Thyroid Cancer. Thyroid. 2025.
ESE_HYPONATREMIA_2014,Clinical Practice Guideline on Diagnosis and Treatment of Hyponatraemia,management_guideline,https://www.ese-hormones.org/publications/directory/ese-clinical-guideline-for-the-management-of-hyponatraemia/,2026-06-06,European Society of Endocrinology guideline resource; cite and paraphrase.,European Society of Endocrinology et al. Clinical guideline for the management of hyponatraemia. 2014.
JTA_JES_THYROID_STORM_2016,Guidelines for the Management of Thyroid Storm,management_guideline,https://www.jstage.jst.go.jp/article/endocrj/advpub/0/advpub_EJ16-0336/_article/-char/en,2026-06-06,Free article page; cite and paraphrase.,Japan Thyroid Association and Japan Endocrine Society Taskforce Committee. Guidelines for the management of thyroid storm. Endocr J. 2016.
CDC_STI_2021,CDC Sexually Transmitted Infections Treatment Guidelines 2021,management_guideline,https://www.cdc.gov/std/treatment-guidelines/default.htm,2026-06-07,"Free CDC guideline portal; cite and paraphrase recommendations, including PID guidance.",Centers for Disease Control and Prevention. Sexually Transmitted Infections Treatment Guidelines 2021.
ACOG_ECTOPIC_FAQ,ACOG Ectopic Pregnancy FAQ,patient_guideline,https://www.acog.org/womens-health/faqs/ectopic-pregnancy,2026-06-07,"Free ACOG patient FAQ; use for patient-facing ectopic pregnancy symptom and evaluation framing, not as full practice-bulletin access.",American College of Obstetricians and Gynecologists. Ectopic Pregnancy FAQ.
AHA_ASA_STROKE_2019,AHA/ASA Early Management of Acute Ischemic Stroke 2019 Update,management_guideline,https://www.ahajournals.org/doi/10.1161/STR.0000000000000211,2026-06-07,Official AHA/ASA guideline article; cite and paraphrase acute stroke imaging glucose and escalation recommendations.,"Powers WJ, Rabinstein AA, Ackerson T, et al. 2019 Update to the 2018 Guidelines for the Early Management of Acute Ischemic Stroke."
ACP_LOW_BACK_PAIN_2017,ACP Noninvasive Treatments for Low Back Pain Guideline,management_guideline,https://www.acpjournals.org/doi/10.7326/M16-2367,2026-06-07,ACP guideline article; cite and paraphrase red-flag and imaging discipline with condition-specific sources when available.,American College of Physicians. Noninvasive Treatments for Acute Subacute and Chronic Low Back Pain. 2017.
ADA_FOOT_CARE_2026,Retinopathy Neuropathy and Foot Care Standards of Care in Diabetes 2026,management_guideline,https://doi.org/10.2337/dc26-S012,2026-06-07,ADA Standards of Care section; cite and paraphrase annual foot exam monofilament pulse and ulcer-risk recommendations.,American Diabetes Association Professional Practice Committee. Standards of Care in Diabetes-2026. Section 12.
AAO_CONJUNCTIVITIS_PPP_2023,Conjunctivitis Preferred Practice Pattern,management_guideline,https://www.aaojournal.org/article/S0161-6420(24)00009-5/fulltext,2026-06-07,AAO Preferred Practice Pattern article; cite and paraphrase red-eye exam and red-flag recommendations.,American Academy of Ophthalmology. Conjunctivitis Preferred Practice Pattern. Ophthalmology. 2024.
ACG_UGIB_2021,ACG Clinical Guideline Upper Gastrointestinal and Ulcer Bleeding,management_guideline,https://journals.lww.com/ajg/fulltext/2021/05000/acg_clinical_guideline__upper_gastrointestinal_and.14.aspx,2026-06-07,ACG guideline article; cite and paraphrase risk stratification transfusion and endoscopy timing recommendations.,American College of Gastroenterology. Clinical Guideline: Upper Gastrointestinal and Ulcer Bleeding. 2021.
AAFP_MONOARTHRITIS_2025,Acute Monoarthritis Diagnosis in Adults,clinical_review,https://www.aafp.org/pubs/afp/issues/2025/0600/acute-monoarthritis.pdf,2026-06-07,AAFP clinical review; cite and paraphrase acute monoarthritis septic arthritis and arthrocentesis workup recommendations.,American Family Physician. Acute Monoarthritis: Diagnosis in Adults. 2025.
ES_HYPOGLYCEMIA_2009,Evaluation and Management of Adult Hypoglycemic Disorders,management_guideline,https://academic.oup.com/jcem/article/94/3/709/2596247,2026-06-07,Endocrine Society guideline article; cite and paraphrase Whipple triad and diagnostic evaluation recommendations.,Endocrine Society. Evaluation and Management of Adult Hypoglycemic Disorders. 2009.
AAFP_PRURITUS_2022,Pruritus Diagnosis and Management,clinical_review,https://www.aafp.org/afp/2022/0100/p55,2026-06-07,Public clinical review; cite and paraphrase skin examination and systemic pruritus evaluation.,American Family Physician. Pruritus Diagnosis and Management. 2022.
MERCK_PRURITUS_ANI,Merck Manual Professional Pruritus Ani,clinical_reference,https://www.merckmanuals.com/professional/gastrointestinal-disorders/anorectal-disorders/pruritus-ani-anal-itching,2026-06-07,Free professional reference; cite and paraphrase perianal inspection and anorectal symptom evaluation.,Merck Manual Professional Edition. Pruritus Ani.
AAD_MELANOMA_DETECTION,AAD ABCDEs of Melanoma and Skin Self-Exam,clinical_reference,https://www.aad.org/public/diseases/skin-cancer/find/at-risk/abcdes,2026-06-07,Public AAD patient and clinician education; cite and paraphrase lesion warning morphology.,American Academy of Dermatology. ABCDEs of Melanoma.
AAD_MELANOMA_GUIDELINE,AAD Melanoma Clinical Guideline,management_guideline,https://www.aad.org/member/clinical-quality/guidelines/melanoma,2026-06-07,AAD clinical guideline page; cite and paraphrase staging and regional node relevance without reproducing long text.,American Academy of Dermatology. Melanoma Clinical Guideline.
AUA_ACUTE_SCROTUM,AUA Medical Student Curriculum Acute Scrotum,clinical_reference,https://www.auanet.org/meetings-and-education/for-medical-students/medical-students-curriculum/acute-scrotum,2026-06-07,AUA educational curriculum; cite and paraphrase acute scrotum exam and urgent torsion framing.,American Urological Association. Medical Student Curriculum: Acute Scrotum.
EAU_ACUTE_SCROTUM,EAU Paediatric Urology Guideline Acute Scrotum,management_guideline,https://uroweb.org/guidelines/paediatric-urology/chapter/acute-scrotum,2026-06-07,EAU public guideline chapter; cite and paraphrase acute scrotum physical findings and note pediatric evidence limits.,European Association of Urology. Paediatric Urology Guideline: Acute Scrotum.
NICE_MENINGITIS_2024,NICE NG240 Bacterial Meningitis and Meningococcal Disease,management_guideline,https://www.nice.org.uk/guidance/ng240,2026-06-07,NICE public guideline; cite and paraphrase recognition investigation transfer and urgent treatment recommendations.,National Institute for Health and Care Excellence. Meningitis bacterial and meningococcal disease recognition diagnosis and management. NG240. 2024.
